100 5000 5000 
2593 4700 3031 3857
3371 5000 4245 4630
2291 769 3017 456
1793 2197 2503 2018
3191 1734 4197 1402
3017 769 3344 733
3371 4630 4245 4000
3773 2511 4017 2112
4717 1304 5000 737
2863 2171 3367 1734
3031 4000 3558 3638
753 576 1041 0
1442 4349 2260 3964
2191 3097 2401 2639
1793 2323 2863 2197
2401 3097 2874 2778
3339 1402 3968 1052
4017 3100 4411 2656
1642 3964 2260 3672
1442 2727 1841 2323
2401 2511 2863 2323
595 576 753 315
2874 3097 4017 2816
1841 2639 2401 2323
306 833 595 315
1442 1734 1823 456
4017 3391 5000 3100
0 1742 306 0
3040 456 3968 0
0 2064 788 1742
4527 4579 4870 4490
330 3275 1063 3190
330 3631 1442 3275
3031 4700 3371 4000
4788 2730 5000 2230
2260 3391 4017 3097
3031 3638 4501 3391
489 2892 1442 2462
3968 1402 4207 1065
4017 2230 5000 1734
489 2462 1442 2064
2593 3857 3031 3391
2503 2197 2863 1734
1041 833 1442 0
1823 1734 2291 923
1823 923 2291 456
0 2892 489 2064
4207 1402 5000 1304
0 3631 330 3190
3558 4000 5000 3726
0 5000 912 4672
4527 4490 5000 4000
3367 2112 4017 1734
1442 3097 2191 2727
4207 1304 4717 1065
3968 1065 4717 737
4411 2730 4788 2656
4197 1734 5000 1402
2291 1734 3191 1402
2291 1402 3339 1052
3968 737 5000 220
306 315 753 0
491 4026 1442 3631
1642 3672 1841 3397
4501 3726 5000 3391
1841 2727 2191 2639
306 1742 788 833
1442 3397 1841 3097
788 1507 1442 833
2260 5000 3371 4700
2260 4700 2593 3391
1442 2323 1793 2018
491 4672 912 4026
1063 3275 1442 2892
2401 2778 3479 2511
3344 1052 3968 733
2863 2511 3773 2171
3558 3726 4501 3638
4017 2656 4788 2230
788 2064 1442 1507
3017 733 3968 456
0 3190 1063 2892
3479 2816 4017 2511
1442 2018 2503 1734
1442 5000 2260 4349
2291 1052 3344 769
1841 3672 2260 3097
1442 3964 1642 3397
0 4672 491 3631
2874 2816 3479 2778
4245 4579 4527 4000
4245 5000 4870 4579
4870 5000 5000 4490
595 833 1041 576
912 5000 1442 4026
2650 456 3040 0
3367 2171 3773 2112
1442 456 2650 0
3968 220 5000 0
4411 3100 5000 2730
3
1
