2000 50000 50000 
29461 50000 29997 47906
21522 39062 23235 38623
35975 32656 37772 31979
44025 31912 45091 30946
15317 17009 16351 15592
0 16702 782 15543
33045 23518 34334 22199
47728 39522 48520 37950
968 39869 2482 38867
35833 50000 36308 48091
11314 43980 12240 42940
4673 10460 5822 8941
43206 7298 44117 5985
3496 45717 5061 44818
15079 26511 16190 25589
30668 31664 32764 30866
16851 24777 17374 22424
41827 4957 43106 3736
0 43601 2510 42971
44037 24790 45173 23615
9827 40691 10476 37788
31068 12593 32245 11042
47170 5985 48195 4741
6350 20312 7802 19256
46191 21551 46865 19451
49093 36093 50000 35387
22040 15698 23483 15163
31921 44429 32641 42804
2354 18713 3396 17761
30668 32982 32764 32198
27597 11356 28638 10661
7550 47513 8312 45985
12352 41181 12833 39069
17374 21643 19853 20893
30666 45386 32641 44802
22610 18841 23500 17009
46876 33036 47998 31604
35743 13425 36572 12593
15968 38183 17817 37232
43051 38505 43622 37424
29826 21623 31105 20648
35331 44568 36308 43657
46244 32379 46876 30519
13417 9772 14189 8815
9195 26084 10215 24219
14189 10084 15078 8815
25904 15526 26841 13487
5822 4490 6483 3117
29974 30567 30668 29687
4303 27419 5159 26350
3441 2942 4134 1937
9998 3827 10850 2613
30668 35744 31774 34021
19863 34856 21717 34480
35935 42804 36308 41338
8916 30422 11314 29726
30457 20312 32235 19452
34685 8482 37341 7883
13417 39042 14951 38183
28974 4713 30577 3871
32245 6441 33134 4713
41811 20914 42933 19451
15079 27383 16190 26511
4673 12031 5822 10460
31533 1356 33155 608
10404 37788 11314 36540
3496 46129 5061 45717
8523 26084 9195 24219
37772 33496 38819 32329
41099 3736 43106 3288
36572 17009 37772 15630
22716 6045 23483 4365
6828 11835 7630 10737
21235 22498 23420 21941
21235 25909 23840 25444
44037 27099 45373 26581
46356 2566 47562 1075
36308 45940 37309 45290
25505 20648 26453 19350
36276 30145 37772 29064
7802 20312 8300 17840
5822 28305 6911 27020
29264 2402 30186 887
49071 28635 50000 26999
14847 3099 15386 1612
37772 25388 39389 24449
46380 28635 48208 27681
28638 7938 32245 7450
42042 46598 43034 45403
43106 3144 45100 2566
11314 36776 12459 36200
22076 3132 23483 2293
41099 10142 42571 9354
650 878 2366 0
24430 43094 25447 41809
0 45009 1536 44190
464 42216 1386 41432
11314 21609 13417 20887
22492 10383 23483 9399
782 15155 1928 14353
5105 33579 5822 31102
47891 19334 48744 18188
43932 42832 44919 41723
44037 21551 44959 20445
39957 46598 41047 45681
33803 19827 34533 18556
31533 3356 32414 1356
17556 32316 19911 31571
16190 27771 17859 26631
11428 13469 12889 12359
46876 39723 47728 38104
759 36871 2482 36022
26125 46291 27438 44900
3396 16113 4723 14907
28980 45340 29658 44135
20999 43650 21924 42729
33647 25909 34175 24519
3396 35149 4693 33993
33379 50000 34799 48956
30514 18556 31716 17009
44616 23034 45481 21551
0 7682 806 6209
43034 44455 44071 42832
17810 30834 19911 30181
34658 36942 35803 36261
40731 16308 41811 15143
20836 3197 22076 2293
5061 46490 5438 45128
1386 41399 2482 39869
14945 45984 16398 45222
27089 23643 28879 23057
28027 29687 29045 28346
41811 42832 42728 41542
16351 8559 17354 7355
14302 4237 14847 1445
42278 2566 43022 0
7077 27020 7881 25156
4022 44026 5061 42216
5822 14755 7137 14091
42703 33178 43126 30946
26841 16001 28021 15182
38813 16308 39758 15143
28301 2402 29264 887
45533 8841 46748 7262
7137 16577 8017 15197
7550 44500 9453 43953
41811 32170 42703 30946
16381 30834 16772 28894
6399 48251 8667 47513
5822 8791 6577 8072
38533 6441 38933 4868
4835 4563 5822 2942
32730 29687 33300 28519
20999 46291 22143 45183
23483 3264 23970 2024
7357 4820 8282 3117
42728 42832 43932 41542
15356 29571 16381 28894
18283 26631 19784 25679
32245 9781 33944 9164
49171 23727 50000 22813
41811 38505 43051 37372
6650 31674 8856 31003
4946 14907 5822 13826
9735 16966 10468 16082
11314 17609 12763 16902
46876 36093 47720 34465
27183 31726 28027 30923
20669 14405 21544 13784
35206 20549 37070 19827
11314 30841 12680 29912
41099 12593 42571 11360
21419 5553 22323 4365
45829 13525 47891 12593
29112 11042 29936 9398
47562 2566 48484 1075
9735 16082 10468 14091
8300 18482 9735 17840
6634 16446 7137 14755
33448 44568 35331 43657
24763 18841 25505 17009
16772 30834 17810 29648
14714 17952 15846 17009
35245 33352 35975 30721
5822 2273 8282 1851
23955 8948 25155 7618
40850 15143 41811 13555
13417 42422 15393 41809
36696 37679 37772 36942
38879 27372 40152 26329
19310 28894 20301 27699
15393 44009 16707 42720
11428 5725 12787 4747
29012 22284 29826 20648
31706 30866 32764 29687
16144 35152 16766 33708
13417 6256 16351 5747
3496 46818 5061 46129
48166 6606 50000 5985
41811 27329 43156 26618
28027 45340 28980 44135
5145 35948 7550 35149
24511 35812 25174 33708
9083 42983 9827 41706
3843 37676 5306 36727
33379 48956 33825 46435
39956 34693 40940 32958
29172 39774 29683 36942
11314 33164 11869 30841
47891 20455 48744 19334
5383 49310 6399 47513
0 18713 1339 17761
30666 50000 32221 48947
4234 41135 5133 40286
15750 31501 17556 30834
8886 36864 9986 35890
16190 28894 17657 27771
34404 40653 36308 40306
24563 47282 26022 46291
29683 38758 30666 36942
1713 35149 2326 32223
9281 32943 10068 31674
36526 25067 37772 24519
9735 22417 10528 21074
21633 30534 22026 28894
806 6598 2366 6209
40259 25388 41811 24495
43106 4227 43606 3144
0 29011 1051 27464
16398 45505 17418 44888
8902 11835 9638 10737
49187 10514 50000 8841
29361 32908 29916 31305
