1000 50000 50000 
21224 46327 22415 43746
49136 50000 50000 46706
45633 15547 47768 13797
17640 2523 18570 0
20752 11109 22408 9871
43101 2375 44936 925
37010 33994 38157 32271
40718 7866 41593 5147
38023 13900 39613 12461
23973 50000 26661 48878
11390 50000 12715 47441
40718 925 42369 0
27610 47441 28352 44676
37720 50000 38885 47826
7261 42904 7968 39923
38853 15547 41137 14672
28796 31905 31398 30709
24904 12940 26901 11109
17345 7161 17919 4748
23196 6062 24424 3222
37010 35794 38240 33994
14309 43620 15800 41049
28203 38992 30795 37716
21264 35573 23606 34525
0 1910 788 0
31228 47441 31969 44676
4784 6666 6659 5118
21421 50000 22999 49155
23957 29612 26901 28539
0 42343 1522 41054
31295 50000 32319 48574
27658 34336 29666 32490
21755 43746 23113 42145
12553 16093 14896 14836
26901 18782 29155 17731
13093 29938 14375 28134
40854 29596 42832 28260
1909 10643 3532 9541
40718 2375 42009 925
16758 15685 17905 12763
3262 16172 4784 14452
1135 45826 2319 44129
25706 9871 26901 7260
25204 42145 25837 37716
48659 42145 50000 40564
39745 32271 40854 29833
33452 35180 33908 32490
19248 17387 20284 15514
22999 48878 25598 47441
40078 50000 41221 48768
12616 13528 13255 9387
9919 4202 11237 1976
13093 34505 14237 32935
8649 38747 11390 37980
18863 34525 22286 33480
38253 2762 40067 1009
13526 5315 14896 4202
41920 32713 44833 31402
31641 44676 32431 42145
8511 47110 9301 44504
32103 31031 33664 29813
7948 10829 9919 9530
6516 11607 7948 9754
17140 4748 17640 1559
32686 22252 33379 19240
27790 15547 29148 13940
41950 42145 42646 40007
20003 39077 21965 37716
48877 21459 50000 18674
48337 2027 50000 0
19336 7581 20752 5684
11206 13528 12616 12052
24906 20058 26901 18343
8147 2098 9021 0
17510 43891 20003 42577
36442 3969 37218 1220
25354 3222 26901 908
41137 13065 42236 10476
44833 34866 46776 33033
43416 9096 45236 7866
26339 44676 29605 43746
33455 7866 35459 6246
4720 30049 6343 28738
1522 42468 2889 41228
42849 3641 44936 2375
40148 18363 42114 17343
46615 10872 48555 9947
28725 36564 29666 34336
5691 50000 6947 48490
34884 21167 35644 19240
10107 50000 11390 48551
23758 16274 24629 14852
0 11961 2197 10643
16086 27034 17436 25837
29380 29502 31398 28124
31741 25666 33379 23439
12448 38788 13332 36564
