200 5000 5000 
3249 476 3602 0
3967 1781 4318 1361
2008 4015 2279 3403
4847 3923 5000 3564
791 4664 1290 4543
0 3258 521 2853
2807 3952 3080 3623
2737 2516 3361 2229
1290 5000 1744 4570
4239 2333 4417 1935
1480 3445 1744 3150
2737 274 3249 0
370 1900 524 1457
3924 3623 4251 3377
3934 520 4318 0
370 2496 863 2184
3767 1781 3967 1361
240 3991 813 3662
1885 2220 2279 1744
852 1457 1150 1016
4576 2939 5000 2516
987 3445 1480 3150
0 1254 307 702
1403 2567 1518 1924
1164 4543 1290 3977
1164 1016 1642 702
3281 4802 3964 4553
3964 5000 4251 4321
307 959 852 702
2737 1609 3061 1138
3061 2229 3361 1712
4239 1935 5000 1781
4452 4203 5000 3923
3281 4553 3964 4300
2279 4504 2603 4309
2558 3623 2752 3162
1403 3150 1885 2988
2087 1016 2463 639
3061 1291 3767 1138
1290 4570 1432 3977
4417 2516 4661 2206
813 3977 1046 3662
521 3258 717 2853
2008 3403 2279 3150
1432 4570 1744 3977
0 335 257 180
4546 371 5000 0
370 2853 717 2496
2279 3952 2807 3623
3767 2333 4029 1781
3281 4300 3687 3990
813 4543 1164 3977
2279 2082 2737 1902
1894 4458 2014 4261
4215 3189 5000 2939
3061 1502 3767 1291
791 5000 1290 4664
3602 839 3934 573
3094 3623 3924 3377
2737 1138 2966 831
1403 1924 1885 1754
3767 2516 4417 2333
3094 3377 3505 2990
4251 3923 4847 3712
997 231 1466 0
2966 1138 3280 697
4576 2085 5000 1935
2014 4726 2279 4261
4251 5000 4532 4504
3281 3990 3687 3623
2279 2516 2737 2082
987 3150 1403 2835
0 2853 370 2324
3281 5000 3964 4802
1150 1242 2021 1016
2463 1016 2737 430
2377 639 2463 430
4251 3712 4547 3377
545 4543 813 3991
2603 4673 3080 4414
2279 4309 2603 3952
4547 3564 5000 3377
863 2496 987 1782
0 1457 423 1254
257 481 606 180
2737 476 3249 274
606 702 1060 516
307 1254 423 959
3094 2990 3353 2516
4532 5000 4775 4203
4318 1011 4798 812
3851 2990 4215 2939
3687 4300 3964 4086
1744 4726 2014 4458
717 3251 987 2496
2279 1902 2737 1457
1911 350 2087 0
524 1900 863 1782
852 1016 1164 702
0 702 189 335
3080 4193 3281 3623
0 2324 370 1836
0 5000 408 4543
2906 5000 3281 4673
2889 697 3280 476
370 2184 863 1900
3361 2516 3767 2204
2603 4124 3080 3952
1744 4015 2008 3536
2889 831 2966 697
240 4227 545 3991
524 1782 987 1457
1518 2567 1737 1924
4576 2206 4661 2085
4318 1781 4542 1011
4029 2333 4239 1781
3767 1361 4318 1138
4661 2516 5000 2085
1885 3150 2279 2649
189 702 606 481
1473 350 1911 231
0 3662 218 3258
3280 1138 3760 839
987 2835 1403 2611
1642 1016 2087 702
4547 3712 4847 3564
3080 4673 3281 4193
2642 3162 3094 2987
1744 3536 2008 3150
1466 231 1911 0
3760 1138 4318 839
2603 5000 2906 4673
0 4543 545 4227
1257 2611 1403 2079
218 3662 717 3258
4770 1781 5000 1011
2737 2229 3061 1609
1737 2567 1885 1924
2701 2987 3094 2516
1473 516 2087 350
1885 1744 2279 1457
189 481 257 335
1403 1754 1885 1457
4318 812 4546 0
4775 5000 5000 4203
3687 4086 3882 3623
3280 839 3602 476
3567 2990 3851 2516
4542 1781 4770 1011
1150 1457 2021 1242
606 516 997 180
0 180 997 0
0 4227 240 3662
423 1457 852 1151
2279 3623 2558 3162
2021 1457 2737 1268
4798 1011 5000 371
408 5000 791 4543
1744 4458 1894 4015
4251 4504 4452 3923
1249 3977 1744 3662
2279 3162 2642 2770
0 1836 370 1457
2737 831 2889 476
3505 3377 3910 2990
2752 3623 3094 3162
1403 2988 1885 2567
2087 639 2377 0
4546 812 4798 371
1046 3977 1249 3662
1894 4261 2279 4015
3910 3377 4215 2990
987 2079 1200 1457
1885 2649 2279 2220
2603 4414 3080 4124
3602 573 3934 0
1744 5000 2279 4726
987 2611 1257 2079
3353 2990 3567 2516
4215 3377 5000 3189
3851 2939 4576 2740
997 516 1473 231
717 3662 987 3251
3934 839 4318 520
987 3662 1744 3445
3964 4321 4251 4086
2279 5000 2603 4504
4417 2206 4576 1935
2279 2770 2701 2516
4452 4504 4532 4203
3882 4086 4251 3623
1060 702 2087 516
423 1151 852 959
1200 2079 1403 1457
3361 2204 3767 1712
3851 2740 4576 2516
2642 2987 2701 2770
3061 1712 3767 1502
2377 430 2737 0
2021 1268 2737 1016
20
1
