10000 9000000 9000000 
3721073 2590935 3757490 2400573
6158640 3628999 6235333 3535077
6345568 3535077 6394605 3353055
1820953 283113 1940068 191849
4303472 7066552 4375838 6913472
1944879 1894591 2070303 1850442
6535954 2771223 6612097 2683246
810104 6425856 928730 6347500
4808232 448313 4852862 353273
6464420 4758653 6533634 4663559
5019042 462129 5140083 372939
178291 2317879 299192 2250328
8220064 8671993 8259440 8548575
1198840 8490670 1320788 8425214
5507287 3707540 5542545 3571922
3477987 6923603 3553002 6845576
7030092 7047035 7071298 6883460
8382418 6989307 8458729 6869499
2017824 4796857 2088444 4705967
3998865 4011262 4060815 3851823
42610 5439132 150250 5347070
5733471 2475324 5798082 2377193
390354 4436537 434728 4336622
7208898 1493203 7310799 1438210
6373899 1890936 6446282 1786953
1198840 8425214 1320788 8355757
3933582 4763070 4001204 4661884
7424851 1289731 7497005 1172959
4708260 8472076 4757466 8363486
7421160 2478399 7557689 2412091
447234 3862135 590370 3794240
4470006 7833232 4515195 7724109
7467880 6246153 7594927 6193338
6693750 4663559 6786968 4537435
3950759 7819655 4109534 7768166
6464420 3351125 6591258 3278647
7212031 1438210 7331422 1373293
4245539 3752939 4320645 3627637
4566975 5544188 4642139 5462160
815453 3125409 921079 3055231
255894 8605178 350395 8522583
5857944 651377 5968660 554241
4542844 7603616 4628737 7479649
8862394 4733879 8916232 4611893
2829901 6719029 2883105 6570106
7594923 7110154 7631747 6916428
1063601 3125409 1141998 3057780
3845356 1032420 3924310 951422
6464420 6163784 6504450 6038410
8959412 4163197 9000000 4034045
3257338 1947878 3316304 1834753
2554322 2241426 2632923 2109005
4422658 2329820 4532869 2258605
1221527 2001782 1312832 1883283
874640 2431295 910128 2306404
4705051 3645115 4755658 3463181
4804909 7617995 4871206 7475759
6654598 4795282 6728784 4663559
4409063 7768166 4470006 7621413
5091142 1465567 5214999 1406603
7930967 7078138 8079109 7025388
3547282 1557600 3624203 1456831
8641380 4320876 8733801 4224379
3115887 8072060 3160229 7945227
7071781 894249 7220732 856379
6105687 1322147 6158272 1134311
8617678 1655502 8683463 1572941
6540639 2300247 6670719 2236503
8523818 3433647 8640432 3350196
8285685 940643 8335342 815481
7827981 1722891 7937736 1619134
7171689 2199348 7241071 2112010
3158906 430301 3238114 350110
2009884 2509291 2070303 2411890
1520391 3174134 1614297 3115938
1328890 1883283 1391544 1705708
7389857 5978240 7477990 5869409
2501843 1144092 2546686 1032420
3624203 2590935 3721073 2479168
3289635 7108725 3383089 6998776
952700 4061965 1129168 4000611
5093895 2500466 5204067 2388979
221718 3126399 366420 3044812
6062981 2537408 6145200 2453571
6593073 6695749 6668686 6605205
6304572 6865824 6370118 6719029
5924006 6090176 6037968 6056304
5894042 8223225 6022344 8156707
2921527 8703982 3005126 8560967
6690200 7575800 6864463 7536048
1682819 2441624 1852733 2373240
440086 4842512 477275 4689199
6301733 3974050 6326529 3834005
738979 1886862 959044 1843358
2218409 4063633 2314417 3986259
149933 7396259 259714 7345764
4632364 8088532 4684612 7901150
4783411 5376680 4910930 5290391
449438 5844068 522303 5740240
6016970 6499667 6088297 6420928
5224985 806540 5386928 783732
2592722 5973345 2679399 5846346
2930583 5188144 3019814 5136043
5683885 6535950 5814256 6460857
7792297 4674836 7913087 4590994
3406900 490625 3529722 459743
2738595 6570106 2855667 6480278
7223053 3088063 7363749 3018957
8454159 3433647 8523818 3350196
791679 2104435 842915 1886862
6464420 5026723 6641187 4994658
6307701 2542920 6464420 2492153
4317910 8550484 4470006 8471178
1529691 7510813 1639628 7407983
8281208 7626824 8353630 7476576
8618108 5940468 8739233 5864392
5724538 3571922 5818181 3480429
6728784 4795575 6831891 4714878
3592292 7515053 3682291 7441511
7560356 8830352 7650266 8739140
8244659 2966010 8313736 2819901
7363749 3804918 7454160 3676517
2509593 8504145 2619880 8438563
1215326 3298186 1279091 3125409
4619463 2609165 4687691 2441967
5193509 4517989 5236202 4331767
702957 1114871 835999 1086214
7470095 8859644 7560356 8758603
668147 1532830 747206 1466018
7867749 7110154 7930967 7040143
1162962 175224 1322984 107405
7578293 4790138 7750298 4740232
6301280 3834005 6352033 3666917
1391544 2524062 1529949 2470418
677309 6077611 744063 5955137
8364647 530285 8466373 418292
0 8962825 111814 8856772
8877222 375458 8968989 252327
444751 3697956 536634 3588544
8466218 1902025 8506566 1655502
2188473 6544542 2330561 6478960
6110564 6172185 6161396 5991689
5670372 6910907 5757611 6777774
911234 2104435 994376 2052275
7133108 8230953 7219168 8126459
79962 2951799 178788 2918532
6325388 7139322 6402838 7071246
6316855 2713200 6464420 2652016
8013149 5215463 8101881 5147188
2026298 6926494 2155997 6849162
588630 7666451 681931 7536169
5388345 1253438 5515919 1176745
2914359 4321920 3004701 4216694
7983931 7800443 8138460 7722330
5091142 1180295 5159608 1053606
8279659 7346511 8338426 7267272
1391544 1620617 1535331 1574849
293736 5347070 373662 5238328
2350134 6220459 2423898 6126681
809050 5170291 881898 5105476
7974108 5098475 8013149 4909243
1345014 6719029 1401498 6600903
8381600 1655502 8494646 1572941
6279149 7071246 6319709 6925303
5550226 4869196 5760906 4824810
2975543 1713497 3025661 1557600
5833636 5887961 5924006 5832491
139477 6264852 208322 6124931
4458445 6294731 4509309 6175136
2228695 1469179 2295640 1362525
1221527 1883283 1301273 1834613
8122176 940643 8234287 867167
223181 4689199 388838 4615462
1345014 6509413 1386349 6356020
1391544 3362178 1447313 3174134
2070303 2770756 2217929 2724433
8313785 1289731 8381600 1165088
2404410 1923470 2459637 1834753
5209843 8909676 5284873 8770594
7059544 113722 7145579 0
1633264 5983913 1692869 5798631
7677420 1663758 7827981 1619134
514377 8575063 644170 8501151
6965066 1451240 7040842 1289731
8957184 940643 9000000 800265
3268972 2881394 3347163 2730386
0 3745222 126150 3694436
3889480 9000000 4019665 8909084
8641448 6308963 8697288 6176992
5169212 3320960 5229804 3128767
8888750 940643 8957184 800265
8886850 8443155 9000000 8345593
7134097 3774133 7263911 3725057
2070303 3046020 2217929 2968565
8682544 8393665 8842869 8347427
6612097 2771223 6661495 2611015
1710048 3200512 1789945 3126195
6853567 170071 6949049 62639
6213163 7071246 6279149 6937484
5911946 5129964 5982596 5022427
6551052 4663559 6693750 4630529
5565070 5580589 5652917 5523841
8752066 7097432 8816528 6925799
6401192 414315 6491190 323143
2433760 7168240 2527162 7043598
7746327 1289731 7849987 1184337
6166426 4533970 6335835 4464136
2127898 2315969 2198367 2179618
5481921 615242 5588871 541257
8278098 1399233 8381600 1289731
2715023 7268853 2762838 7124009
6172813 7799357 6386628 7755768
660483 5770374 774830 5694034
125625 5942948 249181 5844068
4327097 6305131 4416401 6175136
3852805 4763070 3933582 4699532
1444075 130209 1500577 0
1017173 1216350 1127512 1114871
2155997 6879218 2212904 6719029
5594655 7830187 5628839 7724109
5521081 4824810 5592113 4728391
8673513 6906556 8752066 6810563
3682144 873729 3810139 791234
7339870 6552213 7405328 6455838
1733653 1850442 1826228 1750722
3194669 2218201 3316304 2122281
6136149 4268112 6237507 4159059
2622648 3636829 2654612 3452937
5006473 3827908 5098797 3769029
8243319 2731994 8304545 2583319
4726815 7832178 4787475 7724109
4386966 8122317 4470006 8081414
750373 6501680 810104 6347500
8574221 3836549 8672030 3731221
1137666 1797548 1221527 1705708
7363749 4504146 7426692 4415620
4261850 3072998 4374968 2989358
1878784 191849 1954956 61841
7898843 4144656 7980370 3999655
1389990 7384837 1529691 7345764
4060815 3884734 4147178 3796951
8336530 2583319 8411274 2451835
8770309 7925480 8884783 7873752
3353199 3815128 3490752 3742441
3872340 6298631 3920738 6053006
2529534 7277456 2619402 7168240
5302850 2500466 5397018 2388979
6670719 2483220 6766369 2384943
1649042 8429732 1730871 8289653
279525 2670730 366420 2601605
6022344 6896053 6152172 6808062
1231821 2509026 1301818 2403520
1514936 1789621 1612050 1681035
7363749 4852777 7578293 4807072
