120 5000 5000 
4200 1347 5000 1085
3698 4561 4180 3999
767 3011 901 2613
2886 3780 3302 3476
2171 5000 2615 4561
4180 5000 4437 3887
4180 2109 4675 1823
1186 3160 1628 2811
3623 2244 4180 1823
1186 1784 1516 1120
407 3011 767 2797
0 2613 305 1640
3689 1823 4200 1273
2084 3999 2545 3591
1630 4669 2171 4201
4675 2963 5000 1823
0 558 1030 400
4200 1823 5000 1347
288 4490 1152 4081
4675 4159 5000 2963
3185 5000 3541 4561
4437 4159 4675 2728
0 1640 305 1120
305 2613 610 1731
1152 3999 2084 3591
1935 3160 2434 2933
2893 1237 3182 455
0 783 1023 558
4200 1085 4322 530
4602 4448 5000 4159
2434 2838 3037 2244
2874 4235 3103 3999
1023 819 2036 558
0 5000 288 3591
3541 5000 4180 4561
0 400 1030 0
1186 2339 1618 1784
2545 3999 3302 3780
0 2797 767 2613
4715 626 5000 0
1186 2811 1495 2339
1628 3160 1935 2764
1030 558 1622 280
901 3160 1186 1731
923 3591 1898 3160
3302 3999 3742 3476
1495 2811 1628 2521
3103 4129 3698 3999
634 1120 2036 819
1898 3591 2545 3160
4656 5000 5000 4448
2874 4561 3323 4235
3182 1823 3689 1071
2434 1823 2665 1394
2171 4561 2874 4201
2434 2244 3275 1823
1622 558 2036 171
4656 1085 5000 626
3182 1071 3689 607
2036 1272 2434 774
407 3160 901 3011
1152 4586 1630 4201
3037 2440 4180 2244
288 5000 1152 4731
305 1731 1186 1412
4437 5000 4656 4851
288 4081 1152 3591
2665 1823 3182 1595
2036 2058 2434 1272
1030 280 1367 0
4602 4851 4656 4448
2545 3780 2886 3160
2434 1394 2814 1237
0 3160 407 2797
634 819 1023 783
3275 2244 3623 1823
1367 280 1622 171
2615 5000 3185 4561
2611 557 2893 455
3037 2838 3874 2440
288 4731 1152 4490
1495 2521 2434 2339
3742 3999 4180 3160
2814 1595 3182 1237
1516 1585 2036 1120
2611 455 3182 0
3477 3160 3874 2838
0 3591 923 3160
2434 3160 3477 2838
3103 4235 3323 4129
4180 2728 4675 2109
3874 3160 4180 2440
2434 1237 2893 557
1450 4669 1630 4586
2036 774 2434 0
3689 530 4322 0
1450 5000 2171 4669
3182 607 3689 0
4437 4851 4602 4159
4322 1085 4656 406
305 1412 1186 1120
1618 2339 2036 1585
1152 4201 2874 3999
1995 2933 2434 2521
2886 3476 3742 3160
2036 2339 2434 2058
1152 5000 1450 4586
3323 4561 3698 4129
4656 626 4715 406
4180 3887 4437 2728
0 1120 634 783
2434 557 2611 0
1935 2933 1995 2764
1628 2764 1995 2521
1367 171 2036 0
1516 1784 1618 1585
3689 1273 4200 530
610 2613 901 1731
2665 1595 2814 1394
4322 406 4715 0
3
1
