50 5000 5000 
370 2853 717 2496
3281 5000 4251 4450
1885 3150 2279 1457
987 3662 1744 3150
3281 4450 4251 3623
1290 5000 1744 3977
4215 3377 5000 2939
3767 2516 5000 1781
3280 1138 4318 839
606 516 997 180
0 702 606 180
813 4543 1290 3977
606 702 2087 516
2737 2229 3061 1138
987 3150 1403 1457
0 2853 370 1457
852 1016 2087 702
2087 1016 2737 0
2653 5000 3281 3623
3602 839 4318 0
3061 1712 3767 1138
717 3662 987 2496
2737 2516 3361 2229
852 1457 2737 1016
370 2496 987 1457
2279 5000 2653 3623
1403 3150 1885 1457
0 5000 1290 4543
813 3977 1744 3662
0 4543 813 3662
3094 3623 4251 3377
2279 3623 3094 2516
2737 1138 3280 476
2737 476 3602 0
4251 5000 5000 3377
0 180 997 0
997 516 2087 0
1744 5000 2279 3150
3361 2516 3767 1712
3061 2229 3361 1712
0 3662 717 2853
3094 2990 3851 2516
3851 2939 5000 2516
3767 1781 4318 1138
3094 3377 4215 2990
2279 2516 2737 1457
3280 839 3602 476
3851 2990 4215 2939
4318 1781 5000 0
0 1457 852 702
5
1
