60 5000 5000 
0 1947 1304 1594
0 2848 329 1947
2766 1745 2857 0
2577 3541 2849 3029
812 5000 1247 3755
2849 3719 3069 3029
1596 978 1697 834
2857 2437 4081 1754
515 418 2277 0
0 5000 812 4213
4671 1506 5000 0
1495 3016 2277 1947
3862 3099 4494 2437
1027 2955 1495 1947
2551 2437 2857 1745
1304 978 1596 418
4283 5000 5000 4087
4494 4087 4740 1921
3069 3246 3531 2437
2857 613 3583 0
2551 1745 2766 1018
2277 3719 2849 3541
2857 1754 3583 613
3531 3306 3862 2437
1986 4386 2277 3016
2860 5000 3531 4634
3531 5000 4283 4087
1495 4386 1986 3016
4494 1921 4671 0
2277 3541 2577 2437
3583 1754 4081 902
3069 4634 3531 3246
2577 3029 3069 2437
2277 1018 2766 0
1697 1947 2277 834
241 3498 329 2848
515 590 1304 418
0 971 1304 590
4671 1921 4740 1506
329 3498 1027 2564
3583 902 4494 0
1027 3755 1495 2955
3531 4087 4038 3306
2277 5000 2860 3719
2860 4634 3069 3719
1495 5000 2277 4386
1596 834 2277 418
4740 4087 5000 1506
241 3755 1027 3498
0 590 515 0
3862 3306 4038 3099
4081 2437 4494 902
0 3755 241 2848
0 4213 812 3755
0 1594 1304 971
329 2564 1027 1947
1304 1947 1697 978
1247 5000 1495 3755
2277 2437 2551 1018
4038 4087 4494 3099
3
1
