30 5000 5000 
0 3156 1722 2351
1614 919 2535 0
2535 954 3927 0
1265 2351 1626 1288
2487 4649 3297 3830
0 2351 1265 1487
1493 5000 2328 4081
3897 5000 5000 3098
1493 3830 1722 3156
983 3933 1493 3156
3927 954 5000 0
2328 5000 3297 4649
592 3933 983 3602
2535 1988 5000 1444
729 1288 1626 919
0 919 1614 0
2328 4649 2487 4081
0 5000 592 3602
1626 1988 2535 919
0 3602 983 3156
2535 1444 5000 954
3897 3098 5000 2351
1626 2351 5000 1988
1722 2840 3297 2351
1493 4081 2487 3830
592 5000 1493 3933
729 1487 1265 1288
3297 5000 3897 2351
0 1487 729 919
1722 3830 3297 2840
3
1
