100 5000 5000 
3964 5000 4251 4086
3602 839 3934 0
3080 4673 3281 3623
3767 2333 4239 1781
813 4543 1290 3977
4452 4504 4532 4203
987 2079 1403 1457
3767 1781 4318 1138
852 1457 2021 1016
4239 2333 4417 1935
2737 476 3602 0
0 3662 717 3258
997 231 1911 0
4251 3923 5000 3377
3094 3623 4251 3377
3767 2516 4417 2333
3280 1138 4318 839
1885 3150 2279 2649
1403 1924 1885 1457
0 2853 370 1457
4798 1011 5000 371
0 180 997 0
717 3662 987 2496
1744 4015 2279 3150
370 2853 717 2496
524 1900 863 1782
791 5000 1290 4543
3687 4300 3964 4086
370 1900 524 1457
1473 350 1911 231
2279 2516 2737 1457
370 2496 863 1900
4239 1935 5000 1781
0 1254 307 702
3361 2516 3767 1712
606 516 997 180
813 3977 1744 3662
423 1457 852 959
1403 3150 1885 2567
997 516 1473 231
1290 5000 1744 3977
0 5000 791 4543
2737 2516 3361 2229
987 3662 1744 3150
2021 1457 2737 1016
3061 2229 3361 1712
1885 2649 2279 1457
2279 5000 2603 3952
0 702 606 180
0 4227 240 3662
0 1457 423 1254
852 1016 2087 702
3280 839 3602 476
3851 2990 4215 2939
307 959 852 702
4452 4203 5000 3923
4318 812 4546 0
240 3991 813 3662
4318 1781 5000 1011
2087 639 2377 0
1911 350 2087 0
3851 2939 5000 2516
863 2496 987 1782
2377 639 2463 430
606 702 2087 516
307 1254 423 959
4215 3377 5000 2939
1403 2567 1885 1924
4532 5000 5000 4203
3934 839 4318 0
2377 430 2737 0
4251 4504 4452 3923
3281 4300 3687 3623
2279 3623 3094 3162
2603 4673 3080 3952
524 1782 987 1457
2737 2229 3061 1138
2737 1138 3280 476
2279 3162 3094 2516
4417 2516 5000 1935
3687 4086 4251 3623
4318 1011 4798 812
3094 2990 3851 2516
4251 5000 4532 4504
1744 5000 2279 4015
2087 1016 2463 639
4546 371 5000 0
3094 3377 4215 2990
987 3150 1403 2079
2603 5000 3281 4673
3061 1712 3767 1138
1473 516 2087 350
240 4227 545 3991
4546 812 4798 371
545 4543 813 3991
2463 1016 2737 430
0 4543 545 4227
3281 5000 3964 4300
2279 3952 3080 3623
0 3258 717 2853
10
1
