220 5000 5000 
4641 3079 4776 2950
630 3380 930 3187
0 811 267 304
3839 398 4534 141
3982 3261 4319 2695
1823 4080 2150 3621
2786 3665 3030 3243
3791 2320 4087 1750
157 2444 329 1802
2150 2824 2715 2637
930 3703 1226 3350
4593 4448 5000 4059
3468 5000 4107 4725
1246 1802 1536 1328
4175 1148 4523 861
1481 2487 1780 2088
2380 1899 2687 1786
2150 555 2599 272
208 3591 630 3302
3686 3931 3904 3618
2698 5000 3048 4714
4319 3261 4776 3079
1744 215 2150 0
684 1316 1055 811
3288 3931 3686 3618
4287 4588 5000 4448
1269 4575 1682 4129
4200 3618 4593 3261
1083 4575 1269 4005
2956 2763 3288 2292
909 811 1094 523
4057 2695 4223 2320
1536 1802 2150 1622
1744 683 2150 486
3468 4725 3794 4239
0 3847 208 3327
4025 1750 4156 1148
0 5000 233 4259
3661 3261 3982 2695
3839 936 4175 398
3288 4375 3468 3931
4087 2161 4516 1750
1744 1002 2150 683
1920 4636 2150 4080
710 4259 1083 3847
1055 1328 1762 1166
3839 141 4534 0
2347 3243 2715 2824
2687 2292 2779 1705
1177 3350 1591 3082
1226 3703 1682 3350
3288 1658 3507 1148
1780 2366 1862 2088
4516 2216 5000 1942
267 811 420 304
3288 2647 3661 2338
1055 1802 1246 1328
2779 2292 2918 1462
1536 1622 2150 1433
285 1140 684 811
2698 4208 3030 3665
4593 4059 5000 3667
1944 3350 2150 2487
1043 2025 1481 1802
2698 4714 3048 4208
1509 3082 1944 2908
1823 3621 2150 3350
1744 486 2150 215
0 3327 208 2444
1055 1166 1744 982
2380 2136 2556 1899
2556 2292 2687 1899
4223 2695 4516 2161
2150 3243 2347 2824
0 1802 184 1254
2715 3243 3012 2763
4107 4448 4328 3618
1276 2642 1481 2025
4156 1750 4416 1148
1862 2366 2150 1802
2437 1705 2779 1462
3468 3261 3661 2647
4534 398 5000 0
1591 3350 1944 3082
1762 1433 2150 1166
208 3847 630 3591
605 5000 1003 4575
4516 1554 4785 1148
930 3847 1682 3703
3149 2292 3288 1685
4319 3079 4641 2695
930 2642 1276 2173
474 2880 930 2621
4087 2320 4223 2161
742 2234 930 1802
1682 4080 1823 3350
0 304 491 0
2150 2637 2353 2292
3288 430 3647 0
1094 811 1744 523
1314 5000 1682 4575
2150 4168 2294 3665
4641 2950 5000 2695
329 2234 742 1802
930 3350 1177 2877
4593 3667 5000 3261
0 1254 285 811
4416 1750 4516 1148
3288 936 3647 641
0 2444 157 1802
2370 5000 2698 4711
233 5000 448 4259
2437 1786 2687 1705
208 2621 329 2444
3030 3554 3288 3243
3288 3261 3468 2647
1509 2908 1944 2642
2150 1462 2599 1168
3468 4239 3794 3931
4175 861 4626 659
3507 1658 3776 1445
208 3302 474 2621
1177 3082 1509 2877
3654 3618 4200 3507
4287 4727 4557 4588
684 1802 1055 1316
3904 4725 4107 3968
4107 5000 4557 4727
2974 1462 3288 944
3288 1750 3776 1658
930 2173 1043 1802
3288 1148 4175 936
1481 2642 1944 2487
2918 2292 3149 1685
4785 1554 5000 1148
2150 5000 2370 4168
955 297 1184 0
184 1802 428 1254
1055 982 1744 811
1481 2088 1862 1802
474 3187 930 2880
2370 4711 2561 4168
1682 5000 1920 4443
1083 4005 1338 3847
3904 3968 4107 3618
420 811 909 523
4175 659 4626 398
3794 4725 3904 3931
474 3302 630 3187
2974 432 3288 0
2150 3665 2529 3243
2599 980 2974 510
3288 5000 3468 4375
2561 4711 2698 3665
420 523 955 304
2599 510 2974 0
955 523 1280 297
2150 2136 2380 1786
4776 3261 5000 2950
630 3847 930 3380
2599 1462 2974 980
3030 4208 3288 3554
2974 944 3288 719
3654 3507 4200 3261
2918 1685 3288 1462
3505 2338 3661 1750
1184 297 1280 170
605 4575 1083 4259
1269 4129 1338 4005
4516 1942 5000 1554
4714 2695 5000 2216
1043 2173 1276 2025
3661 2320 3791 1750
1003 5000 1314 4575
2353 2637 2956 2382
2715 2763 2956 2637
3647 936 3839 0
3012 3243 3288 2763
3288 2338 3505 1750
1780 2487 2150 2366
448 5000 605 4259
4523 1148 5000 861
4516 2695 4714 2216
1280 523 1744 170
3507 1445 4025 1148
0 4259 352 3847
1536 1433 1762 1328
2395 982 2599 555
2150 1168 2599 982
4107 4727 4287 4448
4557 5000 5000 4588
329 2621 625 2234
1744 1166 2150 1002
2150 1786 2437 1462
4626 861 5000 398
2150 982 2395 555
3288 3618 3654 3261
930 2877 1509 2642
428 1802 574 1254
2529 3665 2786 3243
3776 1750 4025 1445
3288 641 3647 430
1338 4129 1682 3847
2353 2382 2956 2292
4328 4132 4593 3618
285 1254 574 1140
1682 4443 1920 4080
3048 5000 3288 4208
2294 4168 2561 3665
1920 5000 2150 4636
4328 4448 4593 4132
3661 2695 4057 2320
2150 272 2599 0
625 2621 930 2234
2974 719 3288 432
574 1802 684 1140
1184 170 1744 0
352 4259 710 3847
2150 2292 2556 2136
491 304 955 0
3
1
