8000 500000 500000 
332684 21001 342911 18250
194581 254979 204911 251767
441652 479697 446298 473730
113560 272388 118305 268779
473067 262786 482981 260391
256803 33228 266231 29334
76923 389728 78690 379902
42873 34359 52206 31258
430192 137253 437814 131222
67631 369209 72485 362764
238214 3405 245709 0
52048 172542 57544 167766
40113 217402 51742 214103
181127 415919 184788 407708
89653 386142 94441 376364
334664 400785 348062 398078
229885 107487 235023 99557
319953 391657 329369 388199
28793 25885 37981 21371
67399 206915 71901 200185
442592 389890 446587 385655
252591 429064 258805 423800
411669 500000 418953 493876
295743 445022 303570 440562
437474 229387 441357 218799
294635 411436 301467 407173
243964 208817 247152 200436
207906 282283 213665 276184
160427 470727 169409 465990
123743 396582 127417 389574
155078 315871 157523 304172
360389 163199 367191 159571
207900 185455 214573 182221
175816 193237 182890 189713
132625 290830 135281 277878
194581 424090 207212 421380
162141 113085 172750 108963
427244 102624 431223 96215
441652 483544 451169 479697
174016 213794 180011 209292
35858 396582 46146 392631
256660 56752 262153 49391
336408 356681 341417 351261
136926 108155 143445 102209
272457 324147 279832 318015
34074 102947 39906 98892
368355 14571 375510 8163
348282 451837 354550 447788
190007 483038 194581 476079
479259 328132 489133 325665
156629 215303 162573 209182
94906 322729 102594 318899
0 233715 9427 229959
462274 76065 466574 67891
480048 500000 487017 494128
294697 447999 303570 445022
150127 298777 157523 296838
372157 257673 378856 253776
301467 411436 309939 407173
41406 445409 48690 439698
420236 167408 424844 159571
181435 243731 186332 238912
487020 178262 500000 174801
319491 119925 328161 116229
373220 116229 378415 107462
237937 496142 242610 493122
133136 200668 138870 194014
273642 241650 283275 236916
417876 110056 424053 102624
277322 420571 279832 415077
451169 435684 457622 429639
314563 122734 319491 116229
449005 212269 454287 206779
449532 131222 456568 126706
279832 411436 286168 406571
167900 465990 170693 458083
487497 22755 495102 17960
399647 415723 406211 409865
446402 220951 450646 212269
82186 321630 88524 316690
39663 298282 44563 293057
166310 218595 171442 215303
425628 376793 429047 370176
169851 370971 180283 368523
79261 25850 83353 19323
82186 359812 93466 357108
433826 455628 440896 451389
417410 169553 420236 159571
421671 242346 425518 230678
204842 19384 213851 14527
30088 433481 36910 428257
160441 148340 169075 144251
414099 57769 422423 53460
368405 475822 374515 472222
293537 110028 296026 100069
135846 20174 144263 16456
123575 191012 133136 186189
166259 21721 172294 16444
35858 205615 37644 193613
222086 198629 226387 189510
0 48655 9281 46192
275772 301998 283275 299514
395346 308356 398430 299300
147572 461014 151885 453271
169655 60713 176144 54213
411561 49391 415694 42876
261670 491834 273193 488993
120356 200668 124677 191012
488023 318015 491924 305809
264149 376527 268231 365275
132371 123087 142790 120541
115486 319333 120356 314014
84092 129994 89300 123645
168777 284555 178050 280375
324935 148895 328161 135181
71221 11653 74725 0
411434 329564 420848 327595
138870 191999 143668 182684
324734 57134 328621 49391
164657 140872 169308 133351
119847 428177 125659 423385
82176 396582 89653 393456
430717 278336 433122 262786
422407 269768 427952 262786
233696 200436 239443 193982
5557 5378 9187 0
423132 412919 428827 405884
180143 407708 185834 399525
169409 470727 174692 465990
233356 399037 239262 391624
418953 450456 428435 449080
9963 318027 15596 313065
4814 297882 9963 291934
45957 492625 50959 487957
168777 262290 174146 255993
31451 64206 42873 60470
391248 470323 397568 463649
250435 216784 253817 208063
433904 420309 442592 415512
67399 258321 73710 252998
172052 12836 177056 8182
