820 50000 50000 
31041 39733 32739 37733
38569 34400 39906 32759
36776 27712 38503 26459
22669 37733 25875 36356
1494 24120 2250 20542
13809 30291 16261 29351
13980 9806 15847 8472
31483 47678 35083 46777
2025 29351 5715 28462
0 9154 2423 7718
15847 18983 18723 17432
2127 5235 3676 3734
27753 28225 28932 24901
24174 16467 27007 15123
22669 35756 25875 34982
39049 6383 41075 4194
29482 21701 31034 20675
16429 29351 18129 27265
11732 29351 13846 27735
29557 18983 30550 16467
33766 35335 36180 33888
13340 43311 14820 40999
42111 44863 44215 42978
2381 3734 4161 1874
19657 32759 20986 29351
12753 32759 13809 29351
27007 16467 28505 14674
4161 2106 6168 0
33440 23690 35603 21799
3068 18983 3928 16340
34707 32759 35395 30841
9971 22810 11895 20417
28374 13392 29175 11198
9210 40024 9877 38161
32460 932 34762 0
12126 10470 15847 9806
24658 50000 28968 49073
2250 24120 4090 21659
35105 26821 36776 24901
27386 1250 28756 0
35083 45002 36922 43311
14171 8472 15847 6206
21519 41786 23166 39733
27386 8445 30134 6942
45240 21416 47933 20946
36180 34400 38569 32759
8000 3734 9332 1927
15847 15068 17492 13156
22790 28195 23552 24901
32123 24901 35603 23690
9877 40024 11797 38161
28374 11198 30630 9850
19623 9266 21391 7257
36892 14725 37978 11751
34259 29351 35105 24901
38503 27712 39761 24901
16869 42472 19680 40999
16429 27265 18129 25160
1233 46977 3468 45463
4757 17268 7038 15821
22080 4319 23065 0
7657 25308 9440 22810
9010 13811 12106 12330
31483 44984 33438 43311
19680 36461 22669 34982
14171 4144 15847 2532
29241 14674 30630 13392
9971 20417 11954 18983
42201 20385 44074 18983
42067 36027 43398 34546
45682 41899 50000 41282
45989 8195 47116 4525
16085 40999 16979 37663
16728 50000 17333 47678
20041 1784 22080 0
24658 49073 26886 47678
46429 12483 48998 11659
25589 13705 27007 11916
22349 46649 24497 45463
38485 41395 39620 39733
29049 5722 30134 3730
24697 34982 26231 32759
0 46977 1233 45463
4918 32759 6468 31192
4090 27369 5511 25471
8752 21743 9971 18983
31929 20675 32889 18983
30630 16467 32784 14475
20763 13379 23065 12563
40371 42920 42111 41395
35522 50000 36697 47678
0 17473 1788 16238
23065 17334 26602 16467
48229 18983 50000 17379
44074 20946 47626 19920
14820 42004 16869 40999
0 32759 1239 29351
5873 18107 9189 17268
21261 22193 21900 18983
7539 10470 9523 8472
31441 41523 33784 39733
0 29351 2025 27369
24264 31087 25993 29351
9440 25006 10669 22810
0 6719 1068 3734
4090 25471 5511 23897
3468 46814 4854 45463
20286 46649 22349 45463
5790 10470 7539 9668
15847 11483 18359 10036
6015 43311 7989 40999
36960 2204 39049 0
20333 45463 22650 44385
44783 30284 45956 28663
46012 32759 47746 30999
2899 34340 5722 32759
36776 28982 39761 27712
41775 16530 43684 14667
29565 27280 30647 24901
16085 37663 16979 35760
47116 8195 48766 7182
25993 31087 26964 29351
19595 7257 20305 2765
38070 22028 39970 20385
44708 36027 45849 33592
19647 24901 21823 23611
30134 2235 31332 0
29175 13392 30630 11198
0 18983 1788 17473
40999 13256 43567 12160
42108 22721 43930 20946
33784 40630 38485 39733
23009 43311 24620 41786
10738 31848 12132 29351
32784 10914 34762 9850
25813 29351 27753 27284
7539 6085 9332 3734
15847 4623 17754 3026
39761 26146 43064 24901
13772 40999 16085 39025
1679 10470 4401 9154
3183 39799 4435 38090
1817 32759 2716 29351
9523 10470 10654 8472
33784 43311 34993 40630
25589 11916 27007 9850
46797 50000 50000 48573
38789 37465 41861 36027
7657 29351 9331 27763
21704 18983 23065 17003
9906 46696 13418 45463
39970 24901 42108 23605
31034 23690 31687 20675
14007 21826 16861 20493
0 12827 4027 11793
31332 4896 32460 2982
32786 30841 35395 29351
27007 13392 28374 11998
34128 37733 36567 36027
9440 27763 10669 25006
18723 17003 21832 15746
9085 50000 9906 46822
29506 47678 31483 45463
48839 2798 50000 0
18723 15746 20763 14593
34762 10014 37203 8260
4918 31192 5787 29351
39620 41395 42111 39733
29404 43311 31199 41523
2025 28462 5715 27369
40164 13256 40999 9689
38225 36027 39906 34400
41379 2134 43492 0
7966 31848 9761 29351
19843 23611 23034 22193
41861 37465 43938 36027
7539 7031 9332 6085
10448 34825 11797 32759
40670 46915 42111 44637
13028 26431 16429 25160
11483 16556 13315 14615
27007 14674 29241 13392
37978 15349 39049 11751
12473 37655 13772 34619
36591 43311 37199 40630
23025 50000 24658 48630
25766 24901 26419 22222
13772 39025 14758 35760
5725 50000 7603 48489
46429 13510 50000 12483
21193 50000 23025 48630
23065 16467 24174 12575
35603 22028 38070 20385
15847 12614 18723 11483
37734 50000 38485 47678
25355 41212 27514 39733
39617 20385 42201 18983
21232 28195 22790 25773
48440 37761 50000 36027
36922 45514 38485 43311
39049 18983 41775 17509
47746 32759 48456 28663
23065 3015 26019 1799
12896 5023 14171 2583
3468 48489 4748 46814
27386 5722 29049 3730
5722 35296 7197 32759
44319 18983 45775 17379
4401 8515 5790 6849
2899 36241 3969 34340
17619 34339 19680 32759
16979 37106 19680 35760
16861 20561 18129 18983
9645 14615 12106 13811
4090 23897 5511 21659
32244 29351 34259 27081
23065 1799 24227 0
18778 50000 21193 48690
38789 39733 41179 38574
39049 4194 41075 3353
17754 7257 19595 4898
26964 31136 29800 30509
18129 21218 20249 20626
30641 20675 31929 18983
48583 36027 50000 33825
44469 28663 44938 26068
6015 38870 7567 36241
34762 5178 35852 3195
0 16238 1788 13811
19680 34216 20929 32759
41075 6795 42390 3353
10669 23440 13718 22810
38485 47973 40670 46310
14171 6206 15847 4144
0 25023 4090 24120
43001 32759 46012 31771
25355 43311 27514 41212
15866 45463 17577 43311
33348 9850 34762 7624
44215 44277 47367 43696
3183 36807 6015 36241
21701 39733 23460 37733
3861 32759 4918 29351
23065 6941 24585 4659
1230 33976 2899 32759
45682 41282 47725 39733
9331 29351 11732 27763
13846 29351 16429 27735
44215 47720 45636 45745
30630 13662 31367 11440
34762 13570 36892 11751
31694 17518 34762 16467
14007 22810 16861 21826
24174 15123 27007 13705
39482 30999 40698 29679
44215 50000 45636 47720
47367 46237 48574 42978
44074 19920 47626 18983
21900 22193 23034 18983
31199 43311 33784 41523
41353 30999 43064 29916
2529 16340 3666 13811
34993 43311 36591 40630
29516 32759 30984 31136
30134 6415 32240 4896
4748 48489 5815 46814
10669 27763 11732 25160
24497 47678 26587 45463
47545 17379 48250 14667
24585 4268 25696 3015
48376 28663 48919 25953
32460 2378 34762 932
14040 17422 14667 14615
5165 45463 7717 44513
1239 39799 3183 37998
35395 32759 36776 30452
42390 8195 43767 6818
46429 10656 48998 9376
40670 44637 42111 42920
37203 11751 39049 10510
43930 22721 45240 20946
36180 36027 38225 34400
28470 36027 30206 34943
18359 11483 19384 9266
28756 3730 30134 2516
24585 8544 27386 7313
48456 32759 50000 30863
14432 27735 16429 26431
15847 6494 17754 4623
46797 47539 50000 46237
45399 24901 48398 23816
14820 43311 16869 42004
20432 28195 21232 26253
27386 9850 30134 8445
34762 3195 35913 0
24725 29351 25813 27365
24227 1799 27386 884
27735 34982 28470 32759
9332 7451 11097 5023
12158 1406 14171 0
2423 9154 4401 8483
22650 45463 23365 43311
2423 8483 4401 6719
32784 15037 34762 13371
4757 14615 9645 13811
36776 26459 38503 24901
0 10470 1679 9154
30134 9850 32240 7989
36337 47678 36922 45002
13809 30913 16261 30291
27546 20675 28564 18983
3489 50000 5725 48489
42108 24901 45399 24274
0 26576 1564 25023
11657 50000 13418 47602
38485 50000 42280 49117
43767 8195 44768 4525
0 39801 1239 37998
45264 39733 45997 36027
7657 27763 9440 25308
17890 17432 18723 15068
39049 13256 40164 9689
9189 16556 11483 14615
7197 36241 7768 32759
14758 39025 16085 35760
13418 48818 16728 47618
18129 23611 19843 22193
20495 18983 21704 17003
3183 38090 6015 36807
18723 12563 21391 11483
24620 43311 25355 39733
1788 16340 2529 13811
32786 32759 34707 30841
40698 30999 41353 27476
26964 30509 29800 29351
5790 7418 7539 5235
1551 3734 2381 0
43398 36027 44708 33592
34762 17773 37978 16623
13645 8472 14171 5023
42832 9689 44873 8195
26731 45463 28391 43311
37228 4063 39049 3195
35395 30452 36776 29351
38485 49117 42280 47973
20305 7257 21442 4319
15847 7257 17754 6494
18335 9266 19623 7257
18129 26253 21232 24901
24585 7313 25696 4268
31367 13662 32784 11440
0 48489 1018 46977
36922 47678 38485 45514
32784 13371 34762 12337
21232 25773 22790 24901
5165 44513 7717 43311
45597 28663 46953 26068
45636 50000 46797 46237
7038 17268 7991 14615
44240 42978 47935 41899
31795 37733 34128 36027
46429 11659 48998 10656
26587 47678 27971 45463
18129 28195 20432 26253
42390 4525 46347 3353
0 43311 1239 39801
41775 17379 43684 16530
16996 3026 17754 0
21442 5627 23065 4319
20286 47678 24497 46649
5511 25185 7657 23623
2716 32759 3861 29351
1228 50000 3489 48489
30134 4896 31332 2235
39049 8195 41075 6383
45956 30999 47746 28663
13315 16556 14040 14615
26964 32759 29516 31136
5511 21743 7413 20522
45849 33825 50000 32759
19680 41786 21519 39733
6015 40999 7567 38870
0 36948 3183 36241
9332 5023 10046 0
4351 21659 5511 18983
9010 12330 10120 10470
43064 26068 46953 24901
7539 8472 9332 7031
17754 1784 20041 0
28391 45463 30673 43940
46953 25953 48919 24901
12106 12574 15847 11755
23034 21987 25766 20675
26019 3015 27386 1799
13772 35760 14936 34619
17754 2765 22080 1784
48135 4525 50000 2798
4222 43311 4802 39799
12106 14615 15847 13586
3928 18983 4757 16340
46429 14667 50000 13510
24264 32759 26964 31087
33028 49076 35522 47678
17696 31548 19657 30323
35913 2204 36960 0
24174 13705 25589 11302
39761 27476 43064 26738
44437 24274 45399 22721
10046 3376 12158 2066
43064 30999 45956 30284
30647 27381 32244 24901
24515 39733 26072 37733
23065 12575 24174 9850
46429 9376 50000 8195
47834 39733 48440 36027
14667 17422 15847 14615
10669 24422 13718 23440
12132 31848 12753 29351
39049 14259 41775 13256
0 11793 1612 10470
42111 41717 44240 39733
35603 20385 38511 18983
48456 30863 50000 28663
44938 28663 45597 26068
18723 18983 20495 17003
47626 20419 50000 18983
1230 36241 2899 33976
0 44588 2424 43311
41253 9689 42832 8195
41063 32759 43001 30999
18224 47678 20286 45463
36680 39733 38789 37733
16728 47678 18224 45463
47141 36027 48583 33825
9906 50000 11657 47602
43684 17379 44331 14667
29800 31136 32786 30403
31687 23690 32335 20675
0 3734 1551 948
35603 24901 38392 23871
0 37998 3183 36948
15847 17432 17890 16769
42111 47973 44215 47040
43104 39733 45264 39113
6168 2106 6847 0
42108 24274 44437 22721
5790 9668 7539 7418
2424 45463 4230 43311
26072 39733 28753 38686
20929 34216 23494 32759
44215 45745 47367 44277
10080 44146 12491 43311
38511 20385 39617 18983
21391 12563 23065 10891
16979 40999 19680 39392
27690 22801 29482 20675
12029 18983 13129 17422
45636 46237 47367 45745
48250 17379 49289 14667
20763 14844 23065 13379
7989 43311 10336 41749
18129 20626 20249 18983
45240 22721 47933 21416
23310 24901 25766 23611
44873 10089 46429 8195
0 45463 2424 44588
43492 2385 46347 1254
32889 20675 35603 18983
12106 11755 14474 10470
7991 17268 9189 14615
39049 17509 41775 15913
0 24120 1494 23054
27007 11998 28374 9850
19680 43311 21099 41786
10080 45463 12491 44146
2659 43311 4222 41928
14007 20493 16861 18983
5787 31192 7966 29351
5511 22810 8488 21743
14803 47618 16728 45463
24174 11302 25589 9850
39049 3353 39943 0
14474 11755 15847 10470
28753 39733 31041 37733
18778 48690 21193 47678
20333 44385 22650 43311
28470 37733 29978 36027
10120 12330 12106 10470
37228 6391 39049 4063
4435 39799 6015 38090
6847 3734 8000 0
33028 50000 35522 49076
43064 28663 44469 26068
1239 42117 2659 39799
25696 5375 27386 3015
46797 48573 50000 47539
42111 42978 44240 41717
31051 36027 32701 34621
27690 24901 29482 22801
30630 14475 32784 13662
26231 34982 27735 32759
27753 29351 29565 28225
41379 3353 43492 2134
38789 38574 41179 37465
0 50000 1228 48489
4757 18983 5873 17268
11097 7451 12372 5023
25685 18983 26602 17334
5511 20522 7413 18983
23034 20675 24535 18983
9189 17422 14040 16556
1788 18983 3068 16340
17696 32759 19657 31548
5722 36241 7197 35296
21391 8966 23065 7257
30673 45463 31483 43940
32739 39733 34033 37733
11797 34619 14936 33525
48440 39733 50000 37761
31051 34621 32701 32759
33438 44984 35083 43311
39761 26738 43064 26146
16979 39392 19680 38064
9210 40999 11797 40024
7717 45463 10080 44615
0 23054 1494 20542
27386 6942 30134 5722
12106 13586 15847 12574
21442 7257 23065 5627
11732 26431 13028 25160
15847 7940 18335 7257
20763 15746 23065 14844
32784 16467 34762 15037
44215 43696 47367 42978
12158 2583 14171 1406
35083 47678 36337 45002
29482 23690 31034 21701
4854 46814 7603 45463
8488 22810 9971 21743
13418 47618 14803 45463
5511 23623 7657 22810
30630 11440 32784 9850
48766 8195 50000 4525
23166 41786 24620 39733
21391 10891 23065 8966
2659 41928 4222 39799
29565 29351 30647 27280
28932 28225 29565 24901
7989 41749 10336 40999
1018 48489 3468 46977
18480 45463 20333 43311
19680 37733 22669 36461
12372 8472 13645 5023
39761 28982 40698 27476
40670 47973 42111 46915
24535 20675 25805 18983
13129 18983 15847 17422
9332 8472 12372 7451
36776 29679 40698 28982
31517 50000 33028 47678
