70 5000 5000 
2260 4700 2593 3391
4017 2230 5000 1734
2291 769 3017 456
0 3190 1063 2892
1442 5000 2260 4349
1823 1734 2291 456
1171 2064 1442 833
4411 2730 4788 2656
2874 2816 3479 2778
0 5000 912 4672
4501 3726 5000 3391
0 4672 491 3631
2863 2171 3367 1734
2260 3391 4017 3097
0 2064 788 1742
306 1742 788 833
4411 3100 5000 2730
788 2064 1171 833
306 833 1041 0
2874 3097 4017 2816
3968 737 5000 0
1442 3964 2260 3097
330 3275 1063 3190
2863 2511 3773 2171
1442 1734 1823 456
1442 4349 2260 3964
3344 1052 3968 733
3968 1402 5000 737
1442 456 2650 0
3017 733 3968 456
3479 2816 4017 2511
4245 5000 5000 4000
4017 3100 4411 2656
3367 2171 3773 2112
3558 4000 5000 3726
1442 2323 2067 1734
2650 456 3968 0
0 2892 489 2064
1041 833 1442 0
2260 5000 3371 4700
3773 2511 4017 2112
2291 1734 4197 1402
2593 4700 3031 3391
4017 2656 4788 2230
3367 2112 4017 1734
1063 3275 1442 2892
4017 3391 5000 3100
489 2892 1442 2064
491 4672 912 4026
3371 4630 4245 4000
2291 1402 3968 1052
330 3631 1442 3275
3031 4000 3558 3638
3017 769 3344 733
491 4026 1442 3631
3558 3726 4501 3638
3371 5000 4245 4630
4788 2730 5000 2230
2401 2511 2863 2323
2291 1052 3344 769
912 5000 1442 4026
3031 4700 3371 4000
1442 3097 2401 2323
3031 3638 4501 3391
2401 3097 2874 2778
0 3631 330 3190
4197 1734 5000 1402
2401 2778 3479 2511
2067 2323 2863 1734
0 1742 306 0
3
1
