40 5000 5000 
2256 5000 3362 4167
2913 1019 3958 656
1879 5000 2256 3709
0 4113 678 2438
1608 2438 1770 641
3847 656 5000 0
662 1265 1211 0
1504 4481 1879 3244
0 1684 662 0
4422 3536 5000 2831
4422 5000 5000 3536
872 4481 1504 3460
1504 3244 2046 2438
3362 3929 4061 3437
0 5000 1879 4481
2256 4167 2841 3709
2046 3244 3362 2438
1770 2438 2221 0
2841 4167 3362 3244
3971 3437 4422 2831
3810 5000 4422 4501
1879 3709 2841 3244
662 2438 1608 1265
3971 2831 5000 1811
4061 4501 4422 3437
678 4113 872 3460
2221 2438 3362 1811
678 3460 1504 2438
3958 1811 5000 656
0 2438 662 1684
2221 1019 2913 0
2221 1811 3042 1019
1211 1265 1608 641
1211 641 1770 0
3810 4501 4061 3929
0 4481 872 4113
3042 1811 3958 1019
3362 5000 3810 3929
2913 656 3847 0
3362 3437 3971 1811
3
1
