400 5000 5000 
2906 5000 3061 4673
2701 2757 3094 2516
1403 1754 1885 1661
1432 4452 1744 4243
3281 3821 3687 3623
1370 1457 1701 1242
545 4366 813 4153
4532 5000 4775 4605
4542 1245 4770 1011
4010 1138 4318 839
987 3150 1195 2835
3192 1138 3280 697
4452 4504 4532 4203
307 1254 423 959
1403 3150 1885 2988
1403 1661 1525 1457
2317 909 2463 639
2014 4432 2279 4261
2502 1902 2737 1591
0 3662 218 3258
1744 3284 2008 3150
1911 350 2087 0
370 2104 523 1900
2014 4726 2279 4432
4318 1304 4542 1011
1744 4015 2008 3806
2737 476 3056 274
2737 2229 2944 2067
3505 3377 3671 2990
791 4664 1290 4543
1473 516 1886 350
1744 5000 2094 4726
3729 4802 3964 4553
4215 3377 4555 3189
4318 1781 4542 1541
3967 1781 4165 1361
2603 4673 2945 4414
4770 1323 5000 1011
987 3662 1364 3445
1553 2659 1885 2567
4547 3564 5000 3377
546 2853 717 2496
1885 3150 2126 2891
4417 2516 4661 2206
3567 2655 3851 2516
1744 4458 1894 4015
791 5000 1023 4664
4318 353 4546 0
2021 1268 2309 1016
3094 3279 3251 2990
370 1900 524 1457
3251 3279 3505 2990
1403 2875 1553 2567
1296 3445 1480 3150
257 316 606 180
3061 1712 3324 1502
524 1602 987 1457
3480 1291 3767 1138
86 942 307 702
1428 1242 1802 1016
0 3000 521 2853
2087 639 2377 328
813 3977 1046 3662
2021 1457 2423 1268
2992 2516 3361 2330
3281 4802 3548 4553
523 2104 863 1900
2944 2229 3061 1609
268 180 686 0
3280 960 3760 839
580 3991 813 3662
3602 839 3934 573
702 959 852 702
2126 3150 2279 2649
717 3251 987 2901
423 1457 692 1151
1403 2567 1518 1924
3353 2990 3567 2676
4417 2206 4576 1935
4251 3923 4597 3712
2423 1457 2737 1268
3602 573 3934 429
3361 2516 3767 2299
1885 1866 2279 1744
2737 831 2889 476
3762 429 3934 0
2870 152 3249 0
2388 4638 2603 4504
2701 2987 3094 2757
3361 2204 3767 2062
4576 2939 5000 2791
3767 2092 4029 1781
1060 702 1305 516
2737 274 2870 0
307 827 702 702
307 959 702 827
408 5000 634 4696
2087 1016 2463 909
1553 2875 1885 2659
3280 1138 3760 960
686 180 997 0
4546 812 4798 575
4542 1496 4770 1245
813 4543 984 3977
2463 737 2737 430
2752 3623 3094 3396
1232 231 1466 0
4070 228 4318 0
0 1992 370 1836
606 516 997 421
4085 5000 4251 4630
2279 2990 2642 2770
219 3258 521 3000
4239 1935 4521 1781
2377 142 2737 0
3567 2990 3851 2655
4318 812 4546 606
0 335 257 180
2945 4673 3080 4414
2807 3952 3080 3623
3281 4553 3451 4300
521 3258 717 2853
1885 1621 2279 1457
0 4373 545 4227
4521 1935 5000 1781
2181 2220 2279 1866
2603 5000 2784 4673
1885 2344 2279 2220
1164 1016 1642 924
2279 2082 2737 1902
997 321 1473 231
4546 131 5000 0
2279 2516 2466 2082
4452 4203 5000 4054
1164 924 1504 702
0 702 189 335
3249 476 3405 0
3851 2939 4229 2740
3061 2229 3178 1712
634 5000 791 4543
2642 2987 2701 2770
1305 702 1727 516
4251 4504 4452 4220
2279 4309 2394 3952
1200 2079 1403 1619
1290 4570 1432 3977
4700 371 5000 131
2309 1268 2480 1016
2015 2220 2181 1866
987 3445 1142 3150
3292 1502 3577 1291
4318 1011 4798 812
1046 3977 1249 3662
4215 3189 4586 2939
4070 520 4318 228
3560 3623 3924 3377
0 4543 545 4373
4798 619 5000 371
4597 3923 4847 3712
2603 4284 3080 4124
3281 5000 3765 4802
3094 2990 3217 2516
3602 429 3762 0
4318 1541 4542 1304
3080 4193 3281 3842
4239 2333 4417 1935
1432 4570 1744 4452
2388 5000 2603 4638
588 2496 863 2184
3577 1502 3767 1291
1885 2454 2279 2344
2279 1591 2737 1457
1744 3536 2008 3284
3281 4101 3687 3990
3767 1781 3967 1361
2279 5000 2388 4504
788 2901 987 2496
2087 160 2377 0
4251 3712 4547 3555
3882 4086 4096 3776
3094 3623 3397 3377
3554 2062 3767 1712
692 1457 852 1151
2279 3719 2807 3623
