50 5000 5000 
1176 5000 1437 3282
0 3335 354 2312
1437 2914 2228 2312
1073 1406 1299 478
3874 4817 5000 4348
2464 1231 2790 725
2228 2914 3906 2312
0 5000 623 3335
1617 1846 2435 1709
2322 4348 3471 3660
1798 4586 1915 3952
1343 2312 2435 1846
1798 3952 2322 3341
540 802 1073 478
3471 4348 5000 3660
2464 725 3906 386
1915 5000 2322 3952
1437 4586 1798 3341
3906 2914 4164 720
1617 1709 3906 1406
893 5000 1176 4471
2984 4817 3874 4521
1109 4471 1176 3282
540 478 1299 0
4553 1836 5000 0
623 5000 893 2945
893 4471 1109 2312
1299 1406 2060 386
4164 1836 4553 720
2435 2312 3906 1709
2060 1406 2790 1231
4000 3660 5000 2914
0 1846 1617 1406
2060 1231 2464 386
2790 1406 3906 725
3906 720 4553 0
354 3335 623 2945
1437 3341 4000 2914
2984 5000 5000 4817
354 2945 893 2312
2322 4521 3874 4348
4164 2914 5000 1836
0 1406 1073 802
1299 386 3906 0
2322 3660 4000 3341
0 802 540 0
1437 5000 1915 4586
1109 3282 1437 2312
0 2312 1343 1846
2322 5000 2984 4521
3
1
