4000 50000 50000 
48520 41196 49572 40319
19453 16099 20126 15338
39576 13555 40187 12593
14890 40758 16060 40095
1923 50000 3089 49372
37052 18556 37772 18072
47709 12593 48789 11832
10068 34735 11314 34155
14338 41454 15388 40758
31524 29687 31997 28519
47891 19334 48473 18188
48990 43184 49458 41196
8728 45197 9453 44500
36405 19053 37772 18556
38879 27372 40152 26801
5822 33774 6174 32515
17354 9553 18876 9069
14728 42917 15393 42422
8312 47513 8612 46522
7713 1203 8282 0
5159 28869 5822 27845
37772 44443 38764 43906
14753 25203 16190 24747
8181 38482 9201 37788
25076 40899 26432 40265
21717 34856 22135 33708
36298 36942 36848 35921
41811 24711 42367 23919
33134 6441 34441 5704
46876 30637 47492 29724
39191 39923 39716 38613
4022 44818 5061 44026
38813 14432 40009 13823
28551 32908 29361 32197
32661 23518 33045 22013
28027 39774 28838 38849
7939 17415 8725 16577
46876 32516 47620 31604
6797 36727 7550 35948
18876 9035 20366 8543
34126 45116 34799 44568
27361 15182 28332 14521
33031 15244 33337 13932
38813 13823 40437 13555
46748 8841 47149 6760
13101 39069 13417 37779
28280 18556 29087 17948
47517 44475 48023 43352
47476 22813 48377 21991
27163 44900 28027 44270
35451 7174 36567 6441
28332 15182 28906 14521
37772 26701 38403 25388
2366 1880 3441 1294
13978 8815 15282 8579
11869 32469 12854 31507
22863 32293 23889 31726
3396 19767 4726 19380
41811 22061 42453 20914
13712 45608 14329 45148
35106 9592 35667 8482
28027 44923 28980 44135
25870 39384 26432 38183
22011 37812 23234 37155
32245 9781 32930 9164
4157 26350 4414 24734
13967 20286 14937 19454
11897 15254 12883 14949
27361 14521 28906 14086
45525 5620 46595 4957
4414 26350 5159 25348
47891 17605 48979 17069
28027 48463 29461 47906
21197 41353 21946 40488
24800 17009 25233 16236
3396 29266 4239 28869
8282 7697 8978 6972
41099 8039 41763 7031
5061 44358 6443 43685
38635 7404 39702 6725
22412 7795 23483 7355
31533 608 32720 0
12161 7713 13417 7094
6985 39144 7550 37676
39267 15143 40437 14432
42424 39888 43468 39123
32245 12593 32781 11290
19911 30723 20930 29941
7077 23044 8374 22417
28879 24519 29291 23057
37052 18072 37772 17009
17859 27771 18501 26631
3396 19380 4726 19026
2045 46030 2684 45009
4673 13826 5822 13218
11314 14850 11897 14091
10686 31674 11314 31190
19043 37017 19863 36002
19188 33292 19911 32316
39557 5599 39950 4868
17994 42486 18547 41809
14512 46788 14945 45608
2071 21611 2824 20748
44756 11043 45829 10234
22775 28894 23786 28097
42042 45403 42434 43625
31170 48947 31564 48251
22289 47100 23252 46291
20151 6704 20548 5451
8916 30422 9709 29726
34658 34069 35350 33352
